Date,Rainfall,Temperature,Water_Level,Region
2024-01-01,120.5,28.0,78.2,Tamil Nadu
2024-01-08,95.0,27.5,,Tamil Nadu
2024-01-15,88.3,29.1,76.0,Tamil Nadu
2024-01-22,102.0,28.8,79.5,Tamil Nadu
2024-01-29,75.5,30.2,74.8,Tamil Nadu
2024-02-05,110.2,26.0,80.1,Karnataka
2024-02-12,98.0,,77.3,Karnataka
2024-02-19,85.5,27.0,75.9,Karnataka
2024-02-26,130.0,25.5,82.0,Karnataka
2024-03-05,92.0,28.5,77.0,Karnataka
2024-03-12,105.0,29.0,79.0,Kerala
2024-03-19,140.0,27.8,86.5,Kerala
2024-03-26,115.5,28.2,81.0,Kerala
2024-04-02,90.0,30.5,76.5,Kerala
2024-04-09,100.0,29.0,78.0,Kerala
